task,agent,run,test_state,0,1,2,3,4,5
0,Binary-only,0,0,0.49451329040244074,0.699836434891687,0.7469184982995418,0.7007692855618147,0.7071816772858559,0.7101353696717243
0,Binary-only,1,0,0.5038387573641532,0.859016101237909,0.846615827130652,0.8470704759178687,0.8158545019543486,0.848250292029822
0,Binary-only,2,0,0.5062742031287936,0.7505046441101759,0.7872941190596551,0.7593000647979358,0.7744353968912712,0.7778171605659805
0,Binary-only,3,0,0.5115520907395478,0.4809355012269816,0.5091940695915218,0.5597131171160649,0.5270842522763641,0.5874517292851701
0,Binary-only,4,0,0.5130624589885576,0.7373320618399782,0.7412100753411972,0.7694059998247723,0.7093568657384899,0.7325784634416369
0,Binary-only,5,0,0.5080136993208938,0.4312900215555832,0.7541440953616612,0.7957505807346725,0.7956899742384678,0.8001975905190798
0,Binary-only,6,0,0.47905804287708487,0.6598540905642275,0.5413750311955382,0.4374830279686644,0.630316352756677,0.6419535313770323
0,Binary-only,7,0,0.49232835773686373,0.714973523664086,0.9129056525174015,0.9164753341796587,0.86663074474854,0.8729604899637646
0,Binary-only,8,0,0.4907584550199905,0.5614431497716863,0.5360206524480026,0.4828229910487217,0.746464643933244,0.8399580911731133
0,Binary-only,9,0,0.4672608290078728,0.88068308704848,0.6401250384813518,0.6727047716353787,0.6136396720488139,0.8539375194401391
