task,agent,run,test_state,0,1,2,3,4,5
0,Demo-only,0,0,0.49451329040244074,0.9898617250196952,0.9961464368935293,0.9981447549347275,0.9975795946250215,0.9975169533794745
0,Demo-only,1,0,0.5038387573641532,0.9970348161209579,0.9977738546047703,0.9975889728631661,0.9982672786697564,0.9991287210222733
0,Demo-only,2,0,0.5062742031287936,0.9971496155442374,0.9972815656360641,0.998191341990719,0.9986183018804189,0.9988115570056939
0,Demo-only,3,0,0.5115520907395478,0.9986886013069527,0.9991843285037434,0.9990334700563617,0.9983015059799254,0.9988251606161072
0,Demo-only,4,0,0.5130624589885576,0.9974609022207959,0.9990822168601314,0.9994030814992287,0.9992393768884655,0.99932144961943
0,Demo-only,5,0,0.5080136993208938,0.991681684368688,0.9968230554277949,0.9992044317478462,0.9995235602373933,0.9992708237203717
0,Demo-only,6,0,0.47905804287708487,0.9953395352974871,0.9985772545269578,0.999321184676746,0.9997284896031442,0.9990538559395827
0,Demo-only,7,0,0.49232835773686373,0.9929119599427421,0.9957697212813253,0.9977294963838587,0.9988515127822606,0.9988581454874126
0,Demo-only,8,0,0.4907584550199905,0.9977848611736704,0.9980290759470176,0.9985077116005936,0.9994596500971491,0.9990461565169221
0,Demo-only,9,0,0.4672608290078728,0.9952546870365522,0.9985200157522682,0.9988252474091762,0.9994713258975259,0.9996219708431796
