task,agent,run,test_state,0,1,2,3,4,5
0,Binary-only,0,0,0.5315857546613761,0.3691237218263382,0.33559394170909945,0.3684755673321504,0.3640042732074353,0.36193509919307776
0,Binary-only,1,0,0.47505942826269026,0.24504302783167567,0.2561862709799688,0.2557844281344718,0.28235375756774794,0.2547393527938616
0,Binary-only,2,0,0.4505041721512637,0.3329622379159228,0.3051622101261188,0.32645334167252954,0.31505788922182837,0.31247545978425056
0,Binary-only,3,0,0.4318509507602554,0.5121447948792347,0.4941457215199397,0.46189209627437083,0.48274823198780076,0.44403573432505267
0,Binary-only,4,0,0.34475007965057736,0.34256953277680824,0.33975785453380736,0.31887331160806603,0.36248107119329165,0.3459978940206783
0,Binary-only,5,0,0.4344130208779646,0.5438999917331736,0.3302784731872784,0.2985355111184042,0.2985833607203421,0.29500996689153425
0,Binary-only,6,0,0.6283554047062246,0.39636610599732536,0.47362606380364947,0.5399069789236717,0.4160657332903847,0.408365868167061
0,Binary-only,7,0,0.5472481715500765,0.3584664627141239,0.1907175923770517,0.1866497278745616,0.2379971215884622,0.23200963473984365
0,Binary-only,8,0,0.5760739602555317,0.46076847527725595,0.477046137959577,0.5109379284762521,0.3359155549484333,0.2619897950421095
0,Binary-only,9,0,0.7410459557882201,0.22437305418148454,0.40956927982902486,0.3877321851979755,0.4270109900528376,0.24965396716153113
