task,agent,run,test_state,0,1,2,3,4,5
0,Pref-only,0,0,0.5315857546613761,0.37916243716209,0.3840343581200494,0.3885123597636735,0.40756202496043836,0.4243761161011622
0,Pref-only,1,0,0.47505942826269026,0.36562058833334665,0.2565422309999096,0.2937654075558653,0.32757566417499673,0.3158276419791862
0,Pref-only,2,0,0.4505041721512637,0.39285931302465843,0.3624267901224526,0.37603295044648927,0.32111908062643274,0.32265935024810366
0,Pref-only,3,0,0.4318509507602554,0.45085836440052524,0.42582538955231125,0.41535076946988914,0.3728844867709497,0.37373037717892443
0,Pref-only,4,0,0.34475007965057736,0.48197771894927793,0.4720242359427326,0.4080301357230972,0.3510373611311679,0.29325633120865524
0,Pref-only,5,0,0.4344130208779646,0.4445592348569609,0.45912927541225756,0.3583065828160275,0.3426244224721814,0.32094942739176413
0,Pref-only,6,0,0.6283554047062246,0.42241384776273455,0.4520911102190299,0.45975684714458814,0.3333153670936292,0.29912962678156757
0,Pref-only,7,0,0.5472481715500765,0.328652157314462,0.31254456893665,0.324102857859924,0.2914742981896548,0.2209756483729035
0,Pref-only,8,0,0.5760739602555317,0.3833898977471281,0.32054849821029385,0.368758218166057,0.26926004477177456,0.3043571711606036
0,Pref-only,9,0,0.7410459557882201,0.3567802665052164,0.3134722271770497,0.317651160925367,0.28550228256366167,0.23528468845229256
