task,agent,run,test_state,0,1
0,Demo-only,0,0,0.5327124707828054,0.7229710170402526
0,Demo-only,1,0,0.4817405511136838,0.7194209882159727
0,Demo-only,2,0,0.5110960904819419,0.7218867398352076
0,Demo-only,3,0,0.5156194262600714,0.6907549065546881
0,Demo-only,4,0,0.4937788956877286,0.7160183267021112
0,Demo-only,5,0,0.4914747842251004,0.7015294606742428
0,Demo-only,6,0,0.5248366928571143,0.7110723759414107
0,Demo-only,7,0,0.5372338525203492,0.7101091270258181
0,Demo-only,8,0,0.5182953576301675,0.7044783486692296
0,Demo-only,9,0,0.5154176827488313,0.7052065653388189
0,Demo-only,10,0,0.462022954727953,0.7168948971952498
0,Demo-only,11,0,0.5084582119764077,0.7171235611548727
0,Demo-only,12,0,0.4896846964707137,0.6896527550726759
0,Demo-only,13,0,0.49305589231358093,0.6876317057670696
0,Demo-only,14,0,0.5113420093652467,0.7024506569321651
0,Demo-only,15,0,0.48318612798158195,0.7115417499491501
0,Demo-only,16,0,0.5169965252407076,0.7176010332684688
0,Demo-only,17,0,0.5162786366674652,0.6686721241720424
0,Demo-only,18,0,0.5036026597704395,0.6950896011588226
0,Demo-only,19,0,0.4976377546847868,0.7165916338607644
0,Demo-only,20,0,0.5383966231764445,0.7076886807960414
0,Demo-only,21,0,0.4615127964044245,0.6867230856614391
0,Demo-only,22,0,0.48520589633316447,0.7024407694001077
0,Demo-only,23,0,0.5397530919987141,0.7155113770680747
0,Demo-only,24,0,0.48930473915319517,0.6724733445535809
0,Demo-only,25,0,0.4973552109295451,0.696473387331583
0,Demo-only,26,0,0.48857399503292936,0.6954378608081795
0,Demo-only,27,0,0.5151679303378037,0.7017552250840701
0,Demo-only,28,0,0.5131759097168249,0.7028108602662827
0,Demo-only,29,0,0.5109891837289566,0.6774113986746679
0,Demo-only,30,0,0.48358373949899963,0.7168988837725341
0,Demo-only,31,0,0.4885214233409954,0.705624402126046
0,Demo-only,32,0,0.4897617915455919,0.7136532315714033
0,Demo-only,33,0,0.5170434293995064,0.6904593500309425
0,Demo-only,34,0,0.5187313560239369,0.6893641371073005
0,Demo-only,35,0,0.4782161034323974,0.6832253692758576
0,Demo-only,36,0,0.5212951155304248,0.7469002645159678
0,Demo-only,37,0,0.4941164882593469,0.6854358745436564
0,Demo-only,38,0,0.49971627970841165,0.6775731338360513
0,Demo-only,39,0,0.48847669345397415,0.6870013246912963
0,Demo-only,40,0,0.4638383057235896,0.7056985293768497
0,Demo-only,41,0,0.5239043623141284,0.7039545135043405
0,Demo-only,42,0,0.49635706461571333,0.6736588508267503
0,Demo-only,43,0,0.5027444303069548,0.7027372314935838
0,Demo-only,44,0,0.46712329042139544,0.6803990739293908
0,Demo-only,45,0,0.4818966177528444,0.7168738955366151
0,Demo-only,46,0,0.527836901775226,0.7107039821427787
0,Demo-only,47,0,0.4569128704218786,0.71411953610806
0,Demo-only,48,0,0.4912210013667528,0.705977797302207
0,Demo-only,49,0,0.4836032928431853,0.6864102942170826
