task,agent,run,test_state,0,1
0,Demo-only,0,0,0.2988717514861203,0.30687570147396614
0,Demo-only,1,0,0.6214353866048618,0.2916471663780866
0,Demo-only,2,0,0.4116891245927333,0.30293273506475127
0,Demo-only,3,0,0.4072520876078817,0.30631730456990963
0,Demo-only,4,0,0.5716456810795274,0.2980927053971945
0,Demo-only,5,0,0.5698397465606875,0.28638659700606106
0,Demo-only,6,0,0.3459181511423001,0.2997569890955548
0,Demo-only,7,0,0.24516047361718385,0.30878082492223435
0,Demo-only,8,0,0.3447439066644693,0.3068756780026748
0,Demo-only,9,0,0.3951416394061561,0.30989693486543024
0,Demo-only,10,0,0.6821937541960111,0.29213901515294755
0,Demo-only,11,0,0.44959191438876406,0.2912143687910607
0,Demo-only,12,0,0.5914671938970026,0.31434672331021324
0,Demo-only,13,0,0.5437273470897392,0.31641195154329804
0,Demo-only,14,0,0.42189560541029897,0.305881689320332
0,Demo-only,15,0,0.5969038765676549,0.30740626624186423
0,Demo-only,16,0,0.3925433782010161,0.3100014540056484
0,Demo-only,17,0,0.41681707703693033,0.3288358087533939
0,Demo-only,18,0,0.48243888380318173,0.3131886589693409
0,Demo-only,19,0,0.5358669229113628,0.29811760404790444
0,Demo-only,20,0,0.3373741865826957,0.2983760166511323
0,Demo-only,21,0,0.6740520137401336,0.3168517897901172
0,Demo-only,22,0,0.6681543285327247,0.2952331356349038
0,Demo-only,23,0,0.3282344771415878,0.2916238743735746
0,Demo-only,24,0,0.5753938614109407,0.3131231985631975
0,Demo-only,25,0,0.5134975621253318,0.2989637756215099
0,Demo-only,26,0,0.5899686303139299,0.3074086480964512
0,Demo-only,27,0,0.42666794425748733,0.29890104757743924
0,Demo-only,28,0,0.361311906742096,0.3042899104184483
0,Demo-only,29,0,0.44368931990445015,0.31843097516478575
0,Demo-only,30,0,0.5867913758616858,0.3017169973176168
0,Demo-only,31,0,0.5577675114637493,0.2895653885835619
0,Demo-only,32,0,0.6135540142777471,0.3075626550757134
0,Demo-only,33,0,0.3783232098884308,0.306412826543548
0,Demo-only,34,0,0.3913136456393846,0.32383999920728546
0,Demo-only,35,0,0.6067428728757971,0.31868715475406006
0,Demo-only,36,0,0.3944978919369751,0.280260174553668
0,Demo-only,37,0,0.5388215095992763,0.3160397723740037
0,Demo-only,38,0,0.50194069252782,0.325454422914843
0,Demo-only,39,0,0.584099860159737,0.32246560590824763
0,Demo-only,40,0,0.7696306956207817,0.30650768460066297
0,Demo-only,41,0,0.36405896213683353,0.3081314770292339
0,Demo-only,42,0,0.5262748724662627,0.33516640740403947
0,Demo-only,43,0,0.47405559825852633,0.30540381915280346
0,Demo-only,44,0,0.7425432849963682,0.3119003784964083
0,Demo-only,45,0,0.6477391059486172,0.2977065858543893
0,Demo-only,46,0,0.32912546383158764,0.2970901366536685
0,Demo-only,47,0,0.7469667024546341,0.30250229407808826
0,Demo-only,48,0,0.5469725628769087,0.29815305286157273
0,Demo-only,49,0,0.5850715509391081,0.3126650451320692
